,Tavg,RH_avg,RR,ff_avg
160,28.7,79.0,11.408783783783784,3.0
161,29.3,72.0,11.408783783783784,5.0
162,27.8,80.0,11.408783783783784,2.0
163,28.2,78.0,26.5,5.0
164,28.4,75.0,7.3,3.0
165,27.8,81.0,3.2,3.0
166,28.3,77.0,0.2,3.0
167,29.0,72.0,11.408783783783784,4.0
168,28.4,71.0,11.408783783783784,6.0
169,28.2,68.0,11.408783783783784,3.0
170,29.2,67.0,11.408783783783784,6.0
171,29.3,68.0,11.408783783783784,5.0
172,28.4,74.0,11.408783783783784,5.0
173,28.9,71.0,11.408783783783784,4.0
174,27.0,80.0,7.4,5.0
175,24.3,90.0,5.0,3.0
176,25.3,85.0,6.8,4.0
177,27.2,75.0,21.2,2.0
178,27.1,80.0,11.408783783783784,3.0
179,26.9,82.0,11.408783783783784,4.0
180,27.9,75.0,11.408783783783784,3.0
181,27.7,74.0,11.408783783783784,4.0
182,27.8,75.0,11.408783783783784,5.0
183,27.9,75.0,11.408783783783784,4.0
184,27.8,71.0,11.408783783783784,2.0
185,27.7,68.0,11.408783783783784,3.0
186,26.9,64.0,11.408783783783784,4.0
187,27.3,60.0,11.408783783783784,6.0
188,28.0,67.0,11.408783783783784,4.0
189,28.1,69.0,11.408783783783784,2.0
190,28.5,71.0,11.408783783783784,3.0
191,28.3,71.0,11.408783783783784,3.0
192,27.2,65.0,11.408783783783784,2.0
193,27.2,69.0,11.408783783783784,4.0
194,27.4,71.0,11.408783783783784,4.0
195,27.5,64.0,11.408783783783784,3.0
196,27.7,62.0,11.408783783783784,4.0
197,27.4,66.0,11.408783783783784,3.0
198,27.6,68.0,11.408783783783784,2.0
199,28.0,70.0,11.408783783783784,3.0
200,28.3,74.0,11.408783783783784,4.0
201,28.9,70.0,11.408783783783784,3.0
202,28.9,72.0,11.408783783783784,3.0
203,27.9,74.0,1.5,4.0
204,28.6,75.0,11.408783783783784,4.0
205,26.8,74.0,11.408783783783784,4.0
206,26.6,68.0,11.408783783783784,5.0
207,25.8,68.0,11.408783783783784,4.0
208,25.6,69.0,11.408783783783784,3.0
209,27.1,69.0,11.408783783783784,3.0
210,27.0,70.0,11.408783783783784,3.0
211,27.8,71.0,11.408783783783784,3.0
212,28.2,71.0,11.408783783783784,3.0
213,28.1,65.0,3.8,3.0
214,27.1,64.0,11.408783783783784,4.0
215,26.6,62.0,11.408783783783784,3.0
216,27.1,62.0,11.408783783783784,6.0
217,26.9,60.0,11.408783783783784,4.0
218,27.7,63.0,11.408783783783784,2.0
219,27.4,69.0,11.408783783783784,3.0
220,28.3,72.0,11.408783783783784,4.0
221,28.6,70.0,11.408783783783784,5.0
222,27.9,68.0,1.0,3.0
223,28.3,70.0,11.408783783783784,4.0
224,29.2,72.0,11.408783783783784,5.0
225,28.6,74.0,11.408783783783784,5.0
226,28.7,66.0,11.408783783783784,4.0
227,27.8,68.0,11.408783783783784,4.0
228,27.6,68.0,11.408783783783784,4.0
229,27.2,65.0,11.408783783783784,4.0
230,27.4,62.0,11.408783783783784,5.0
231,27.8,68.0,11.408783783783784,5.0
232,28.8,68.0,11.408783783783784,3.0
233,29.0,68.0,11.408783783783784,4.0
234,28.3,71.0,11.408783783783784,4.0
235,28.4,68.0,11.408783783783784,5.0
236,28.6,70.0,11.408783783783784,4.0
237,28.2,68.0,11.408783783783784,4.0
238,28.9,69.0,11.408783783783784,4.0
239,29.0,68.0,11.408783783783784,4.0
240,28.3,73.0,0.2,4.0
241,29.0,68.0,11.408783783783784,4.0
242,28.8,68.0,11.408783783783784,3.0
243,25.9,74.0,2.6,5.0
244,27.5,80.0,11.408783783783784,7.0
245,28.2,71.0,43.5,3.0
246,27.9,62.0,0.5,5.0
247,27.5,64.0,11.408783783783784,4.0
248,29.0,63.0,11.408783783783784,8.0
249,27.9,68.0,11.408783783783784,4.0
250,28.8,70.0,11.408783783783784,5.0
251,28.9,60.0,11.408783783783784,6.0
252,29.0,58.0,11.408783783783784,6.0
253,29.4,62.0,11.408783783783784,4.0
254,29.3,62.0,11.408783783783784,4.0
255,27.8,66.0,11.408783783783784,4.0
256,28.2,63.0,11.408783783783784,4.0
257,28.0,70.0,11.408783783783784,8.0
258,28.3,58.0,11.408783783783784,7.0
259,29.3,55.0,11.408783783783784,7.0
260,29.3,58.0,11.408783783783784,7.0
261,28.6,34.0,11.408783783783784,6.0
262,28.2,74.0,11.408783783783784,4.0
263,27.6,76.0,11.408783783783784,3.0
264,29.1,68.0,11.408783783783784,6.0
265,29.2,70.0,11.408783783783784,4.0
266,28.0,70.0,11.408783783783784,5.0
267,28.4,68.0,11.408783783783784,5.0
268,28.9,69.0,11.408783783783784,3.0
269,28.5,75.0,9.0,5.0
270,28.9,65.0,0.5,7.0
271,29.1,63.0,11.408783783783784,4.0
272,29.3,64.0,11.408783783783784,4.0
273,29.4,68.0,11.408783783783784,4.0
274,29.1,71.0,11.408783783783784,4.0
275,29.7,72.0,11.408783783783784,4.0
276,30.0,72.0,11.408783783783784,5.0
277,30.3,68.0,0.3,3.0
278,29.8,69.0,11.408783783783784,5.0
279,29.5,59.0,11.408783783783784,8.0
280,29.5,60.0,11.408783783783784,6.0
281,30.0,54.0,11.408783783783784,4.0
282,29.4,66.0,11.408783783783784,4.0
283,30.1,66.0,11.408783783783784,6.0
284,29.3,70.0,11.408783783783784,8.0
285,29.5,67.0,11.408783783783784,3.0
286,29.7,66.0,11.408783783783784,4.0
287,29.9,68.0,11.408783783783784,4.0
288,29.5,72.0,11.408783783783784,3.0
289,29.3,69.0,11.408783783783784,4.0
290,29.3,67.0,11.408783783783784,7.0
291,29.4,70.0,8.3,2.0
292,28.1,74.0,11.408783783783784,3.0
293,29.7,69.0,0.5,6.0
294,29.7,72.0,11.408783783783784,4.0
295,27.2,82.0,27.0,5.0
296,29.3,70.0,10.5,4.0
297,29.1,71.0,0.4,4.0
298,29.6,71.0,11.408783783783784,4.0
299,28.2,79.0,19.1,3.0
300,28.4,80.0,26.7,5.0
301,28.5,80.0,21.2,3.0
302,28.8,76.0,11.408783783783784,4.0
303,29.2,71.0,11.408783783783784,3.0
304,29.0,73.0,11.408783783783784,4.0
305,29.2,72.0,1.2,5.0
306,27.7,76.0,11.408783783783784,3.0
307,29.0,75.0,1.3,4.0
308,29.2,74.0,11.408783783783784,4.0
309,27.1,81.0,11.408783783783784,3.0
310,27.1,84.0,6.1,4.0
311,27.7,83.0,12.5,3.0
312,26.3,90.0,1.5,4.0
313,27.2,84.0,7.6,2.0
314,27.1,84.0,0.3,4.0
315,27.4,85.0,1.1,4.0
316,26.7,84.0,0.2,4.0
317,28.4,75.0,2.8,6.0
318,30.0,69.0,11.408783783783784,4.0
319,30.9,65.0,0.2,4.0
320,30.0,70.0,11.408783783783784,5.0
321,28.2,80.0,11.408783783783784,3.0
322,29.4,74.0,4.7,4.0
323,28.7,75.0,11.408783783783784,4.0
324,28.1,76.0,11.408783783783784,6.0
325,29.4,74.0,11.408783783783784,5.0
326,28.0,80.0,11.408783783783784,3.0
327,27.3,81.0,57.6,5.0
328,27.4,83.0,0.4,7.0
329,27.1,82.0,6.2,4.0
330,27.2,81.0,11.408783783783784,5.0
331,26.8,89.0,65.4,4.0
332,27.97032364234778,79.55896873285792,11.408783783783784,2.0191675794085433
333,27.5,83.0,0.7,1.0
334,28.4,79.0,11.408783783783784,1.0
335,29.1,75.0,11.408783783783784,2.0
336,26.6,90.0,1.0,1.0
337,27.2,85.0,18.9,1.0
338,27.6,83.0,21.0,1.0
339,27.5,84.0,0.4,1.0
340,28.8,78.0,2.0,1.0
341,27.9,81.0,0.8,1.0
342,27.8,84.0,11.408783783783784,1.0
343,25.9,93.0,9.8,1.0
344,27.3,88.0,18.8,1.0
345,26.8,87.0,84.0,1.0
346,27.8,84.0,33.2,1.0
347,28.5,79.0,4.5,4.0
348,27.6,80.0,11.408783783783784,3.0
349,28.3,76.0,11.408783783783784,3.0
350,30.0,69.0,11.408783783783784,2.0
351,28.9,75.0,11.408783783783784,2.0
352,27.8,82.0,0.2,2.0
353,28.6,76.0,2.0,2.0
354,28.6,72.0,11.408783783783784,2.0
355,28.4,78.0,11.408783783783784,2.0
356,26.7,80.0,11.408783783783784,4.0
357,27.7,77.0,11.408783783783784,4.0
358,27.1,83.0,11.408783783783784,3.0
359,26.2,87.0,1.1,2.0
360,27.6,79.0,11.408783783783784,3.0
361,28.6,76.0,11.408783783783784,4.0
362,28.9,76.0,11.408783783783784,4.0
363,29.8,73.0,11.408783783783784,4.0
364,27.97032364234778,79.55896873285792,11.408783783783784,3.0
365,25.4,88.0,16.1,3.0
366,27.3,81.0,1.0,3.0
367,27.4,76.0,4.5,4.0
368,28.7,73.0,11.408783783783784,3.0
369,28.0,76.0,11.408783783783784,2.0
370,28.3,79.0,46.0,1.0
371,29.1,78.0,11.408783783783784,2.0
372,27.9,84.0,11.408783783783784,1.0
373,28.0,84.0,3.5,1.0
374,27.2,86.0,16.6,2.0
375,28.2,81.0,1.1,2.0
376,29.0,80.0,11.408783783783784,2.0
377,27.8,86.0,0.5,1.0
378,26.5,88.0,30.2,2.0
379,27.7,84.0,11.408783783783784,2.0
380,26.7,89.0,11.408783783783784,1.0
381,26.9,86.0,7.1,3.0
382,27.5,86.0,2.0,2.0
383,26.7,86.0,0.8,1.0
384,27.9,82.0,2.6,1.0
385,26.1,92.0,11.408783783783784,1.0
386,24.8,94.0,45.3,1.0
387,26.6,90.0,24.0,2.0
388,27.6,83.0,11.408783783783784,2.0
389,25.9,90.0,26.4,1.0
390,27.6,87.0,19.2,2.0
391,26.9,90.0,7.5,2.0
392,27.3,88.0,2.9,2.0
393,27.8,85.0,0.2,2.0
394,27.2,85.0,24.5,2.0
395,26.7,86.0,11.408783783783784,2.0
396,25.8,90.0,11.408783783783784,1.0
397,27.3,87.0,32.4,1.0
398,28.2,84.0,11.408783783783784,2.0
399,27.3,85.0,1.3,2.0
400,27.0,88.0,15.0,2.0
401,28.3,86.0,6.4,2.0
402,28.6,81.0,11.408783783783784,2.0
